1,0.1245,0.0927,0.0957
2,0.1482,0.1294,0.1404
3,0.1786,0.126,0.13
4,0.1988,0.1348,0.1398
5,0.2246,0.1382,0.1542
6,0.2456,0.1572,0.1662
7,0.2686,0.1567,0.1607
8,0.2949,0.1699,0.1849
9,0.3116,0.1787,0.1797
10,0.3302,0.1836,0.1996
11,0.3546,0.1851,0.1661
12,0.367,0.1865,0.1985
13,0.3693,0.1942,0.2082
14,0.3892,0.2004,0.2204
15,0.3956,0.223,0.235
16,0.4186,0.2292,0.2472
17,0.412,0.2317,0.2437
18,0.4254,0.2492,0.2622
19,0.4236,0.2562,0.2722
20,0.432,0.2629,0.2669
21,0.4402,0.2717,0.2877
22,0.4424,0.2792,0.2882
23,0.4565,0.2854,0.3054
24,0.4681,0.2921,0.2951
25,0.4729,0.3045,0.3145
26,0.4921,0.3124,0.3244
27,0.5121,0.3204,0.3244
28,0.5247,0.3295,0.3485
29,0.5387,0.3367,0.3567
30,0.5501,0.3417,0.3297
31,0.5634,0.3471,0.3601
32,0.5767,0.3521,0.3671
33,0.5975,0.3612,0.3812
34,0.6084,0.3672,0.3582
35,0.6142,0.3749,0.3939
36,0.6272,0.3845,0.3925
37,0.6321,0.4001,0.3881
38,0.6481,0.412,0.414
39,0.6521,0.4154,0.3974
40,0.6647,0.401,0.416
41,0.6687,0.432,0.438
42,0.6722,0.4412,0.4482
43,0.6899,0.4484,0.4384
44,0.6971,0.4521,0.4451
45,0.7072,0.4684,0.4824
46,0.7181,0.4806,0.4616
47,0.7223,0.4951,0.5021
48,0.7342,0.5121,0.5161
49,0.752,0.5234,0.5244
50,0.7642,0.5449,0.5529
51,0.7721,0.5522,0.5722
52,0.7735,0.5721,0.5771
53,0.7821,0.5867,0.5887
54,0.7861,0.5975,0.5965
55,0.7916,0.61,0.629
56,0.8214,0.618,0.619
57,0.8345,0.6272,0.6432
58,0.845,0.6369,0.6559
59,0.851,0.6481,0.6581
60,0.857,0.6551,0.6751
61,0.8612,0.6627,0.6727
62,0.8679,0.6687,0.6537
63,0.8721,0.6742,0.6902
64,0.8802,0.6891,0.7031
65,0.8834,0.6951,0.7131
66,0.8872,0.7021,0.7081
67,0.8927,0.7081,0.7151
68,0.8964,0.7123,0.6923
69,0.9001,0.7142,0.7212
70,0.9042,0.7152,0.7232
71,0.9064,0.7142,0.7042
72,0.9131,0.7162,0.7172
73,0.9167,0.7148,0.7228
74,0.9194,0.7132,0.7182
75,0.9223,0.7241,0.7461
