train,valid,test
0.1365,0.1177,0.1287
0.1519,0.0993,0.1033
0.1871,0.1231,0.1281
0.2059,0.1195,0.1355
0.2269,0.1385,0.1475
0.2499,0.138,0.142
0.2842,0.1592,0.1742
0.3009,0.168,0.169
0.3135,0.1669,0.1829
0.3409,0.1714,0.1524
0.3453,0.1648,0.1768
0.3466,0.1715,0.1855
0.3665,0.1777,0.1977
0.3859,0.2133,0.2253
0.4019,0.2125,0.2305
0.3983,0.218,0.23
0.3877,0.2115,0.2245
0.4079,0.2405,0.2565
0.4143,0.2452,0.2492
0.4265,0.258,0.274
0.4337,0.2705,0.2795
0.4448,0.2737,0.2937
0.4224,0.2464,0.2494
0.4592,0.2908,0.3008
0.4774,0.2977,0.3097
0.4874,0.2957,0.2997
0.482,0.2868,0.3058
0.516,0.314,0.334
0.5374,0.329,0.317
0.5357,0.3194,0.3324
0.551,0.3264,0.3414
0.5848,0.3485,0.3685
0.5727,0.3315,0.3225
0.5915,0.3522,0.3712
0.6145,0.3718,0.3798
0.6134,0.3814,0.3694
0.6204,0.3843,0.3863
0.6384,0.4017,0.3837
0.646,0.3823,0.3973
0.642,0.4053,0.4113
0.6575,0.4265,0.4335
0.6762,0.4347,0.4247
0.6714,0.4264,0.4194
0.6835,0.4447,0.4587
0.6984,0.4609,0.4419
0.7136,0.4864,0.4934
0.6925,0.4704,0.4744
0.7323,0.5037,0.5047
0.7405,0.5212,0.5292
0.7564,0.5365,0.5565
0.7628,0.5614,0.5664
0.7564,0.561,0.563
0.7754,0.5868,0.5858
0.7739,0.5923,0.6113
0.7937,0.5903,0.5913
0.8248,0.6175,0.6335
0.8253,0.6172,0.6362
0.8373,0.6344,0.6444
0.8413,0.6394,0.6594
0.8455,0.647,0.657
0.8582,0.659,0.644
0.8634,0.6655,0.6815
0.8645,0.6734,0.6874
0.8517,0.6634,0.6814
0.8715,0.6864,0.6924
0.875,0.6904,0.6974
0.8687,0.6846,0.6646
0.8754,0.6895,0.6965
0.8935,0.7045,0.7125
0.8897,0.6975,0.6875
0.8914,0.6945,0.6955
0.893,0.6911,0.6991
0.8937,0.6875,0.6925
0.8976,0.6994,0.7214
